"Customer code","Customer ship to","Order","CPO DATE","Customer Requested Date","fixed Y","Qty","","Customer Part no","Currency","Ship Method","CPO DATE ","","","fixed 1","" 
"3","IMCT-SR_SP_SHIP","1F9A323600","26092015","28092015","Y","Order Type","","898193-6310","THB","Road","26092015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9A535500","26092015","28092015","Y","Order Type","","898052-9370","THB","Road","26092015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9A535700","26092015","28092015","Y","Order Type","","898052-9410","THB","Road","26092015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2F9A248900","26092015","28092015","Y","Order Type","","898064-7040","THB","Road","26092015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2F9A310600","26092015","28092015","Y","Order Type","","898231-5561","THB","Road","26092015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1F9A535600","03102015","05102015","Y","Order Type","","898052-9400","THB","Road","03102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9B169000","03102015","05102015","Y","Order Type","","898219-8443","THB","Road","03102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2F9A467800","03102015","05102015","Y","Order Type","","898231-5561","THB","Road","03102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1F9B082000","10102015","12102015","Y","Order Type","","898052-9400","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9B397500","10102015","12102015","Y","Order Type","","898052-9410","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2F9A467800","03102015","05102015","Y","Order Type","","898231-5561","THB","Road","03102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1F9B082000","10102015","12102015","Y","Order Type","","898052-9400","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9B397500","10102015","12102015","Y","Order Type","","898052-9410","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
