,Order No.,,Part No.,,ETA Date,Order Q'ty,Part Name,,,,,,Plant,Doc,,Q'ty/Box,ETA Time,Delivery Place,,,
MD,D6FN214986,201511                D,8982521790,0PT56,20151111,30,"RADIO;AM/FM,CD,D",M,IMCTM,G55000,FTTL,7070,G/WAY,G5,PTB,3,900,GW,0000000000005FUJITSU TEN (THAILAN160JYGG0018018,*,20151105IMF1511053.TXT
MD,D6FN214987,201511                D,8982521790,0PT56,20151111,30,"RADIO;AM/FM,CD,D",M,IMCTM,G55000,FTTL,7070,G/WAY,G5,PTB,3,1400,GW,0000000000005FUJITSU TEN (THAILAN160JYGG0019019,*,20151105IMF1511053.TXT
MD,D6FN214988,201511                D,8982807010,0PV56,20151110,60,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,2100,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0015015,*,20151105IMF1511053.TXT
MD,D6FN214989,201511                D,8982807010,0PV56,20151110,120,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,2300,GW,0000000000005FUJITSU TEN (THAILAN160JYJG0004004160JZFG0008008,*,20151105IMF1511053.TXT
MD,D6FN214990,201511                D,8982807010,0PV56,20151111,60,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,200,GW,0000000000005FUJITSU TEN (THAILAN160JPUG0006006,*,20151105IMF1511053.TXT
MD,D6FN214991,201511                D,8982807010,0PV56,20151111,60,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,330,GW,0000000000005FUJITSU TEN (THAILAN160JZFG0009009,*,20151105IMF1511053.TXT
MD,D6FN214992,201511                D,8982807010,0PV56,20151111,120,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,900,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0016016160JYGG0018018,*,20151105IMF1511053.TXT
MD,D6FN214993,201511                D,8982807010,0PV56,20151111,60,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,1100,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0017017,*,20151105IMF1511053.TXT
MD,D6FN214994,201511                D,8982807010,0PV56,20151111,60,SPEAKER ASM,M,IMCTM,G9B112,FTTL,7070,G/WAY,G9,PTB,4,1400,GW,0000000000005FUJITSU TEN (THAILAN160JYGG0019019,*,20151105IMF1511053.TXT
MD,D6FN214995,201511                D,8982807020,0PV56,20151110,60,SPEAKER ASM,M,IMCTM,G9F132,FTTL,7070,G/WAY,G9,PTB,5,2300,GW,0000000000005FUJITSU TEN (THAILAN160JZFG0008008,*,20151105IMF1511053.TXT
MD,D6FN214996,201511                D,8982807020,0PV56,20151111,60,SPEAKER ASM,M,IMCTM,G9F132,FTTL,7070,G/WAY,G9,PTB,5,330,GW,0000000000005FUJITSU TEN (THAILAN160JZFG0009009,*,20151105IMF1511053.TXT
MD,D6FN214997,201511                D,8982807030,0PT56,20151110,60,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,2100,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0015015,*,20151105IMF1511053.TXT
MD,D6FN214998,201511                D,8982807030,0PT56,20151110,120,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,2300,GW,0000000000005FUJITSU TEN (THAILAN160JYJG0004004160JZFG0008008,*,20151105IMF1511053.TXT
MD,D6FN214999,201511                D,8982807030,0PT56,20151111,60,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,200,GW,0000000000005FUJITSU TEN (THAILAN160JPUG0006006,*,20151105IMF1511053.TXT
MD,D6FN215000,201511                D,8982807030,0PT56,20151111,60,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,330,GW,0000000000005FUJITSU TEN (THAILAN160JZFG0009009,*,20151105IMF1511053.TXT
MD,D6FN215001,201511                D,8982807030,0PT56,20151111,120,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,900,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0016016160JYGG0018018,*,20151105IMF1511053.TXT
MD,D6FN215002,201511                D,8982807030,0PT56,20151111,60,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,1100,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0017017,*,20151105IMF1511053.TXT
MD,D6FN215003,201511                D,8982807030,0PT56,20151111,60,SPEAKER ASM,M,IMCTM,G9JB34,FTTL,7070,G/WAY,G9,PTB,15,1400,GW,0000000000005FUJITSU TEN (THAILAN160JYGG0019019,*,20151105IMF1511053.TXT
MD,D6FN215004,201511                D,8982964590,0PT56,20151110,30,RADIO;ASM DVD,M,IMCTM,G9J311,FTTL,7070,G/WAY,G9,CPB,3,2300,GW,0000000000005FUJITSU TEN (THAILAN160JZFG0008008,*,20151105IMF1511053.TXT
MD,D6FN215005,201511                D,8982964590,0PT56,20151111,30,RADIO;ASM DVD,M,IMCTM,G9J311,FTTL,7070,G/WAY,G9,CPB,3,330,GW,0000000000005FUJITSU TEN (THAILAN160JZFG0009009,*,20151105IMF1511053.TXT
MD,D6FN215006,201511                D,8983122830,0PT56,20151110,30,"RADIO;AM/FM,CD",M,IMCTM,G9J311,FTTL,7070,G/WAY,G9,CPB,3,2100,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0015015,*,20151105IMF1511053.TXT
MD,D6FN215007,201511                D,8983122830,0PT56,20151111,30,"RADIO;AM/FM,CD",M,IMCTM,G9J311,FTTL,7070,G/WAY,G9,CPB,3,200,GW,0000000000005FUJITSU TEN (THAILAN160JPUG0006006,*,20151105IMF1511053.TXT
MD,D6FN215008,201511                D,8983122830,0PT56,20151111,30,"RADIO;AM/FM,CD",M,IMCTM,G9J311,FTTL,7070,G/WAY,G9,CPB,3,900,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0016016,*,20151105IMF1511053.TXT
MD,D6FN215009,201511                D,8983122830,0PT56,20151111,30,"RADIO;AM/FM,CD",M,IMCTM,G9J311,FTTL,7070,G/WAY,G9,CPB,3,1100,GW,0000000000005FUJITSU TEN (THAILAN160JYEG0017017,*,20151105IMF1511053.TXT
