ASN201612153,GM,GGA2,13-Dec-16,FTTL,09:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA2,360,72,
ASN201612153,GM,GGA2,13-Dec-16,FTTL,09:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA2,504,168,
ASN201612172,GM,GGA2,14-Dec-16,FTTL,09:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA2,360,72,
ASN201612172,GM,GGA2,14-Dec-16,FTTL,09:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA2,576,192,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
