1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1683|2017112701|27/11/2017|20:55|28/11/2017|02:00|PSF|24|ED06|04|||||||||||||PSF-24|722E-B-PK|28/11/2017|02:00|28/11/2017|03:51||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-08-C4|10|10|1||G|27/11/2017|20:55|27/11/2017|15:55|27/11/2017|15:55||27/11/2017|07:30|2711|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|OG|1|1G FTTLAOGA0243|2017112701|27/11/2017|13:42|27/11/2017|21:55|GD05|03|GD05|03|||||||||||||GD05-03||27/11/2017|21:55||||1|PC600-0D01D-00|RECEIVER ASSY  RADIO&DISPLAY|29A5|..ZK -  05|3|12|4|||27/11/2017|13:42|27/11/2017|07:42|27/11/2017|07:42||27/11/2017|07:30|2711||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|OG|1|1G FTTLAOGA0243|2017112701|27/11/2017|13:42|27/11/2017|21:55|GD05|03|GD05|03|||||||||||||GD05-03||27/11/2017|21:55||||2|PC600-0D01G-00|MANUAL  OWNERS RADIO|29A6|CS   -  17|10|10|1|||27/11/2017|13:42|27/11/2017|07:42|27/11/2017|07:42||27/11/2017|07:30|2711||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5640|2017112703|27/11/2017|13:17|27/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|27/11/2017|20:00|27/11/2017|22:13||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|4|1|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5640|2017112703|27/11/2017|13:17|27/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|27/11/2017|20:00|27/11/2017|22:13||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5640|2017112703|27/11/2017|13:17|27/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|27/11/2017|20:00|27/11/2017|22:13||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5640|2017112703|27/11/2017|13:17|27/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|27/11/2017|20:00|27/11/2017|22:13||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|8|2|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5640|2017112703|27/11/2017|13:17|27/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|27/11/2017|20:00|27/11/2017|22:13||5|86100-0K101-00|RECEIVER ASSY  RADIO & NAVIGATION|U805|A5.SA- R10|4|4|1|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5640|2017112703|27/11/2017|13:17|27/11/2017|20:00|PPA1|17|CD16|02|||||||||||||PPA1-17|722F-P-P1|27/11/2017|20:00|27/11/2017|22:13||6|86120-0KA41-00|RECEIVER ASSY  RADIO|K049|A5.SA- R10|4|4|1|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5641|2017112704|27/11/2017|13:17|27/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|27/11/2017|20:00|28/11/2017|03:13||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|24|6|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B5641|2017112704|27/11/2017|13:17|27/11/2017|20:00|PPA1|23|CD16|02|||||||||||||PPA1-23|722F-P-P1|27/11/2017|20:00|28/11/2017|03:13||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|12|3|||27/11/2017|13:17|27/11/2017|07:22|27/11/2017|07:22||24/11/2017|07:30|2711||||
