1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1709|2018010901|09/01/2018|20:45|10/01/2018|01:45|PSF|23|ED06|04|||||||||||||PSF-23|722E-B-PK|10/01/2018|01:45|10/01/2018|03:13||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-08-C4|10|10|1||G|09/01/2018|20:45|09/01/2018|15:45|09/01/2018|15:45||09/01/2018|07:30|0901|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5893|2018010903|09/01/2018|04:52|09/01/2018|10:20|PSA|09|SD11|02|||||||||||||PSA-09|722B-S-S1|09/01/2018|10:20|09/01/2018|14:26||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 05.|4|36|9|||09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5893|2018010903|09/01/2018|04:52|09/01/2018|10:20|PSA|09|SD11|02|||||||||||||PSA-09|722B-S-S1|09/01/2018|10:20|09/01/2018|14:26||2|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A03|4|20|5||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5893|2018010903|09/01/2018|04:52|09/01/2018|10:20|PSA|09|SD11|02|||||||||||||PSA-09|722B-S-S1|09/01/2018|10:20|09/01/2018|14:26||3|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5893|2018010903|09/01/2018|04:52|09/01/2018|10:20|PSA|09|SD11|02|||||||||||||PSA-09|722B-S-S1|09/01/2018|10:20|09/01/2018|14:26||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|20|5||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5893|2018010903|09/01/2018|04:52|09/01/2018|10:20|PSA|09|SD11|02|||||||||||||PSA-09|722B-S-S1|09/01/2018|10:20|09/01/2018|14:26||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|12|3||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5791|2018010904|09/01/2018|13:17|09/01/2018|20:00|PPA1|16|CD16|02|||||||||||||PPA1-16|722F-P-P1|09/01/2018|20:00|09/01/2018|21:25||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|28|7|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5791|2018010904|09/01/2018|13:17|09/01/2018|20:00|PPA1|16|CD16|02|||||||||||||PPA1-16|722F-P-P1|09/01/2018|20:00|09/01/2018|21:25||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5791|2018010904|09/01/2018|13:17|09/01/2018|20:00|PPA1|16|CD16|02|||||||||||||PPA1-16|722F-P-P1|09/01/2018|20:00|09/01/2018|21:25||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5791|2018010904|09/01/2018|13:17|09/01/2018|20:00|PPA1|16|CD16|02|||||||||||||PPA1-16|722F-P-P1|09/01/2018|20:00|09/01/2018|21:25||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|8|2|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5791|2018010904|09/01/2018|13:17|09/01/2018|20:00|PPA1|16|CD16|02|||||||||||||PPA1-16|722F-P-P1|09/01/2018|20:00|09/01/2018|21:25||5|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5791|2018010904|09/01/2018|13:17|09/01/2018|20:00|PPA1|16|CD16|02|||||||||||||PPA1-16|722F-P-P1|09/01/2018|20:00|09/01/2018|21:25||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5894|2018010904|09/01/2018|04:52|09/01/2018|10:20|PSA|13|SD11|02|||||||||||||PSA-13|722B-S-S1|09/01/2018|10:20|09/01/2018|19:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 05.|4|20|5|||09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5894|2018010904|09/01/2018|04:52|09/01/2018|10:20|PSA|13|SD11|02|||||||||||||PSA-13|722B-S-S1|09/01/2018|10:20|09/01/2018|19:30||2|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A03|4|20|5||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5894|2018010904|09/01/2018|04:52|09/01/2018|10:20|PSA|13|SD11|02|||||||||||||PSA-13|722B-S-S1|09/01/2018|10:20|09/01/2018|19:30||3|86120-0KA41-00|RECEIVER ASSY RADIO|D885|IP1  - A03|4|4|1||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5894|2018010904|09/01/2018|04:52|09/01/2018|10:20|PSA|13|SD11|02|||||||||||||PSA-13|722B-S-S1|09/01/2018|10:20|09/01/2018|19:30||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|16|4||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5894|2018010904|09/01/2018|04:52|09/01/2018|10:20|PSA|13|SD11|02|||||||||||||PSA-13|722B-S-S1|09/01/2018|10:20|09/01/2018|19:30||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|8|2||8|09/01/2018|04:52|09/01/2018|00:42|09/01/2018|00:42||08/01/2018|07:30|0901||||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5792|2018010905|09/01/2018|13:17|09/01/2018|20:00|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|09/01/2018|20:00|10/01/2018|01:08||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|28|7|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5792|2018010905|09/01/2018|13:17|09/01/2018|20:00|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|09/01/2018|20:00|10/01/2018|01:08||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5792|2018010905|09/01/2018|13:17|09/01/2018|20:00|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|09/01/2018|20:00|10/01/2018|01:08||3|86120-0KC40-00|RECEIVER ASSY  RADIO|H561|A4.SA- R11|4|4|1|||09/01/2018|13:17|09/01/2018|07:22|09/01/2018|07:22||08/01/2018|07:30|0901||||
