1|FTTL|B|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLBBNA0829|2018042301|21/04/2018|15:25|23/04/2018|09:10|PSF|07|EB01|01|||||||||||||PSF-07|722E-B-PK|23/04/2018|09:10|23/04/2018|12:30||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M1-08-A2|10|210|21||G|21/04/2018|15:25|21/04/2018|10:25|21/04/2018|10:25||21/04/2018|07:30|2304|||CB1|
2|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0328|2018042301|22/04/2018|02:58|23/04/2018|07:56|PK2|04|KB03|01|||||||||||||PK2-04|722C-C-C2|23/04/2018|07:56|23/04/2018|09:57||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LB   -  04|8|48|6||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
3|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0328|2018042301|22/04/2018|02:58|23/04/2018|07:56|PK2|04|KB03|01|||||||||||||PK2-04|722C-C-C2|23/04/2018|07:56|23/04/2018|09:57||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LD   -  04|8|48|6||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
4|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0328|2018042301|22/04/2018|02:58|23/04/2018|07:56|PK2|04|KB03|01|||||||||||||PK2-04|722C-C-C2|23/04/2018|07:56|23/04/2018|09:57||3|86160-0K270-00|SPEAKER ASSY  RADIO|1A87|LO   -  11|30|30|1||D|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
5|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0329|2018042302|22/04/2018|02:58|23/04/2018|07:56|PK2|08|KB03|01|||||||||||||PK2-08|722C-C-C2|23/04/2018|07:56|23/04/2018|14:00||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LB   -  04|8|40|5||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
6|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0329|2018042302|22/04/2018|02:58|23/04/2018|07:56|PK2|08|KB03|01|||||||||||||PK2-08|722C-C-C2|23/04/2018|07:56|23/04/2018|14:00||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LD   -  04|8|40|5||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
7|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0329|2018042302|22/04/2018|02:58|23/04/2018|07:56|PK2|08|KB03|01|||||||||||||PK2-08|722C-C-C2|23/04/2018|07:56|23/04/2018|14:00||3|86160-0K270-00|SPEAKER ASSY  RADIO|1A87|LO   -  11|30|60|2||D|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
8|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0330|2018042303|22/04/2018|02:58|23/04/2018|07:56|PK2|12|KB03|01|||||||||||||PK2-12|722C-C-C2|23/04/2018|07:56|23/04/2018|17:24||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LB   -  04|8|48|6||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
9|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0330|2018042303|22/04/2018|02:58|23/04/2018|07:56|PK2|12|KB03|01|||||||||||||PK2-12|722C-C-C2|23/04/2018|07:56|23/04/2018|17:24||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LD   -  04|8|48|6||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
10|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0330|2018042303|22/04/2018|02:58|23/04/2018|07:56|PK2|12|KB03|01|||||||||||||PK2-12|722C-C-C2|23/04/2018|07:56|23/04/2018|17:24||3|86160-0K270-00|SPEAKER ASSY  RADIO|1A87|LO   -  11|30|30|1||D|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
11|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A0331|2018042304|22/04/2018|02:58|23/04/2018|07:56|PK2|16|KB03|01|||||||||||||PK2-16|722C-C-C2|23/04/2018|07:56|23/04/2018|21:57||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|LB   -  04|8|40|5||A|22/04/2018|02:58|21/04/2018|19:06|21/04/2018|19:06||20/04/2018|07:30|2304||||
