1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1837|2018071201|12/07/2018|05:42|12/07/2018|09:55|PSF|07|ED06|01|||||||||||||PSF-07|722E-B-PK|12/07/2018|09:55|12/07/2018|12:30||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|T1-09-C4|10|20|2||F|12/07/2018|05:42|12/07/2018|00:42|12/07/2018|00:42||11/07/2018|07:30|1207|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0419|2018071201|12/07/2018|10:45|12/07/2018|20:19|KD02|02|KD02|02|||||||||||||||||12/07/2018|20:19||1|86100-02241-00|RECEIVER ASSY  RADIO & NAVIGATION|T575|LQ   -  04|3|3|1|||12/07/2018|10:45|12/07/2018|05:52|12/07/2018|05:52||11/07/2018|07:30|1207||||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0419|2018071201|12/07/2018|10:45|12/07/2018|20:19|KD02|02|KD02|02|||||||||||||||||12/07/2018|20:19||2|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|33|11|||12/07/2018|10:45|12/07/2018|05:52|12/07/2018|05:52||11/07/2018|07:30|1207||||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|G|GATEWAY|OG|1|1G FTTLAOGA0476|2018071202|12/07/2018|23:21|13/07/2018|03:11|GD05|04|GD05|04|||||||||||||GD05-04||13/07/2018|03:11||||1|PC600-0D01D-00|RECEIVER ASSY  RADIO&DISPLAY|29A5|..ZK -  05|3|3|1|||12/07/2018|23:21|12/07/2018|17:21|12/07/2018|17:21||12/07/2018|07:30|1207||||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6674|2018071202|12/07/2018|04:23|12/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|12/07/2018|08:35|12/07/2018|10:43||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|12|3||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6674|2018071202|12/07/2018|04:23|12/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|12/07/2018|08:35|12/07/2018|10:43||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|24|6||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6674|2018071202|12/07/2018|04:23|12/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|12/07/2018|08:35|12/07/2018|10:43||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6674|2018071202|12/07/2018|04:23|12/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|12/07/2018|08:35|12/07/2018|10:43||4|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|28|7|||12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|60|15|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6392|2018071203|12/07/2018|15:35|12/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|12/07/2018|21:06|12/07/2018|22:51||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|8|2|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
