1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1990|2019022201|22/02/2019|11:21|22/02/2019|17:25|PSF|16|ED06|01|||||||||||||PSF-16|722E-B-PK|22/02/2019|17:25|22/02/2019|21:25||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-12-43|10|10|1||E|22/02/2019|11:21|22/02/2019|06:21|22/02/2019|06:21||21/02/2019|07:30|2202|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0572|2019022201|22/02/2019|20:45|23/02/2019|04:04|KD02|02|KD02|02|||||||||||||||||23/02/2019|04:04||1|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|18|6|||22/02/2019|20:45|22/02/2019|15:52|22/02/2019|15:52||22/02/2019|07:30|2202||||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7195|2019022203|22/02/2019|15:34|22/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|22/02/2019|21:06|22/02/2019|23:16||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|28|7||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7195|2019022203|22/02/2019|15:34|22/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|22/02/2019|21:06|22/02/2019|23:16||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7195|2019022203|22/02/2019|15:34|22/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|22/02/2019|21:06|22/02/2019|23:16||3|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|SA.R -  12|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7195|2019022203|22/02/2019|15:34|22/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|22/02/2019|21:06|22/02/2019|23:16||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7195|2019022203|22/02/2019|15:34|22/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|22/02/2019|21:06|22/02/2019|23:16||5|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|SA.R -  13|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||7|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
