1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2068|2019061701|17/06/2019|13:15|17/06/2019|15:45|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|17/06/2019|15:45|17/06/2019|19:30||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|M3-06-52|10|50|5||D|17/06/2019|13:15|17/06/2019|08:15|17/06/2019|08:15||17/06/2019|07:30|1706|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0684|2019061701|17/06/2019|09:13|17/06/2019|16:15|KD02|01|KD02|01|||||||||||||||||17/06/2019|16:15||1|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|18|6|||17/06/2019|09:13|17/06/2019|04:20|17/06/2019|04:20||14/06/2019|07:30|1706|2|||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0685|2019061702|17/06/2019|21:24|18/06/2019|04:38|KD02|02|KD02|02|||||||||||||||||18/06/2019|04:38||1|86100-02242-00|RECEIVER ASSY  RADIO & NAVIGATION|T616|LQ   -  04|3|6|2|||17/06/2019|21:24|17/06/2019|16:31|17/06/2019|16:31||17/06/2019|07:30|1706|2|||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0685|2019061702|17/06/2019|21:24|18/06/2019|04:38|KD02|02|KD02|02|||||||||||||||||18/06/2019|04:38||2|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|12|4|||17/06/2019|21:24|17/06/2019|16:31|17/06/2019|16:31||17/06/2019|07:30|1706|2|||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7733|2019061702|15/06/2019|15:31|17/06/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|17/06/2019|09:06|17/06/2019|13:43||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|8|2||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7733|2019061702|15/06/2019|15:31|17/06/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|17/06/2019|09:06|17/06/2019|13:43||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|28|7||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7733|2019061702|15/06/2019|15:31|17/06/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|17/06/2019|09:06|17/06/2019|13:43||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7733|2019061702|15/06/2019|15:31|17/06/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|17/06/2019|09:06|17/06/2019|13:43||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7733|2019061702|15/06/2019|15:31|17/06/2019|09:06|PPA1|08|CD16|01|||||||||||||PPA1-08|722F-P-P1|17/06/2019|09:06|17/06/2019|13:43||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8466|2019061702|15/06/2019|15:20|17/06/2019|08:30|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/06/2019|08:30|17/06/2019|10:43||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8466|2019061702|15/06/2019|15:20|17/06/2019|08:30|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/06/2019|08:30|17/06/2019|10:43||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8466|2019061702|15/06/2019|15:20|17/06/2019|08:30|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/06/2019|08:30|17/06/2019|10:43||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8466|2019061702|15/06/2019|15:20|17/06/2019|08:30|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/06/2019|08:30|17/06/2019|10:43||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8466|2019061702|15/06/2019|15:20|17/06/2019|08:30|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/06/2019|08:30|17/06/2019|10:43||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|8|2||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|52|13||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7734|2019061703|15/06/2019|15:31|17/06/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|17/06/2019|09:06|17/06/2019|16:56||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|8|2||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|48|12||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8467|2019061703|15/06/2019|15:20|17/06/2019|08:30|PSA|08|PD02|01|||||||||||||PSA-08|722B-S-S1|17/06/2019|08:30|17/06/2019|14:00||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7735|2019061704|15/06/2019|15:31|17/06/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|17/06/2019|09:06|17/06/2019|21:50||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|15/06/2019|15:31|15/06/2019|09:36|15/06/2019|09:36||14/06/2019|07:30|1706||F1||
