1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0941|2019072601|26/07/2019|13:57|26/07/2019|16:01|PK2|11|KD02|01|||||||||||||PK2-11|722C-C-C2|26/07/2019|16:01|26/07/2019|20:27||1|89040-06010-00|SIREN ASSY  THEFT WARNING|4K09|LI   -  09|16|32|2||B|26/07/2019|13:57|26/07/2019|09:04|26/07/2019|09:04||26/07/2019|07:30|2607||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7938|2019072605|26/07/2019|15:34|26/07/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|26/07/2019|21:06|27/07/2019|01:43||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|36|9||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7938|2019072605|26/07/2019|15:34|26/07/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|26/07/2019|21:06|27/07/2019|01:43||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7938|2019072605|26/07/2019|15:34|26/07/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|26/07/2019|21:06|27/07/2019|01:43||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7938|2019072605|26/07/2019|15:34|26/07/2019|21:06|PPA1|20|CD16|02|||||||||||||PPA1-20|722F-P-P1|26/07/2019|21:06|27/07/2019|01:43||4|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7939|2019072606|26/07/2019|15:34|26/07/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|26/07/2019|21:06|27/07/2019|04:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|8|2||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7939|2019072606|26/07/2019|15:34|26/07/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|26/07/2019|21:06|27/07/2019|04:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|36|9||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7939|2019072606|26/07/2019|15:34|26/07/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|26/07/2019|21:06|27/07/2019|04:56||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|26/07/2019|15:34|26/07/2019|09:39|26/07/2019|09:39||26/07/2019|07:30|2607||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8707|2019072607|26/07/2019|15:50|26/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|26/07/2019|20:35|27/07/2019|01:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8707|2019072607|26/07/2019|15:50|26/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|26/07/2019|20:35|27/07/2019|01:15||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8707|2019072607|26/07/2019|15:50|26/07/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|26/07/2019|20:35|27/07/2019|01:15||3|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||3|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8708|2019072608|26/07/2019|15:50|26/07/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/07/2019|20:35|27/07/2019|03:42||6|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|2607||F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2101|2019073001|30/07/2019|13:15|30/07/2019|15:45|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|30/07/2019|15:45|30/07/2019|19:30||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|DIRECT|10|60|6||Z|30/07/2019|13:15|26/07/2019|17:15|26/07/2019|17:15||26/07/2019|07:30|3007|||CB2|
19|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2101|2019073001|30/07/2019|13:15|30/07/2019|15:45|PSF|13|ED06|01|||||||||||||PSF-13|722E-B-PK|30/07/2019|15:45|30/07/2019|19:30||2|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L2-02-34|10|10|1||E|30/07/2019|13:15|26/07/2019|17:15|26/07/2019|17:15||26/07/2019|07:30|3007|||CB2|
