1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A1006|2020010701|07/01/2020|10:34|07/01/2020|14:12|PK2|09|KD02|01|||||||||||||PK2-09|722C-C-C2|07/01/2020|14:12|07/01/2020|15:38||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LJ   -  06|12|12|1||B|07/01/2020|10:34|07/01/2020|05:41|07/01/2020|05:41||06/01/2020|07:30|0701||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8511|2020010703|07/01/2020|09:10|07/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|07/01/2020|17:05|07/01/2020|21:25||1|86100-0K145-00|RECEIVER ASSY  RADIO & NAVIGATION|J278|SA.R -  12|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8511|2020010703|07/01/2020|09:10|07/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|07/01/2020|17:05|07/01/2020|21:25||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8511|2020010703|07/01/2020|09:10|07/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|07/01/2020|17:05|07/01/2020|21:25||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8511|2020010703|07/01/2020|09:10|07/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|07/01/2020|17:05|07/01/2020|21:25||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8511|2020010703|07/01/2020|09:10|07/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|07/01/2020|17:05|07/01/2020|21:25||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8511|2020010703|07/01/2020|09:10|07/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|07/01/2020|17:05|07/01/2020|21:25||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8512|2020010704|07/01/2020|09:10|07/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|07/01/2020|17:05|08/01/2020|02:25||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|56|14||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8512|2020010704|07/01/2020|09:10|07/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|07/01/2020|17:05|08/01/2020|02:25||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8512|2020010704|07/01/2020|09:10|07/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|07/01/2020|17:05|08/01/2020|02:25||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|8|2||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8512|2020010704|07/01/2020|09:10|07/01/2020|17:05|PPA1|22|CD16|01|||||||||||||PPA1-22|722F-P-P1|07/01/2020|17:05|08/01/2020|02:25||4|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0701|2|F1||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9593|2020010707|07/01/2020|15:33|07/01/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|07/01/2020|20:35|08/01/2020|00:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|12|3||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9593|2020010707|07/01/2020|15:33|07/01/2020|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|07/01/2020|20:35|08/01/2020|00:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0701|2|F1||
