1|FTTL|B|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLBBNA1907|2020112301|23/11/2020|09:22|23/11/2020|12:52|PSF|10|EB03|01|||||||||||||PSF-10|722E-B-PK|23/11/2020|12:52|23/11/2020|14:25||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|U2-08-12|10|240|24||C|23/11/2020|09:22|23/11/2020|04:22|23/11/2020|04:22||21/11/2020|07:30|2311|||CB1|
2|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2434|2020112301|23/11/2020|12:00|23/11/2020|15:05|PXA|16|WB26|01|||||||||||||PXA-16|722C-G-XA|23/11/2020|15:05|23/11/2020|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|80|4||F|23/11/2020|12:00|23/11/2020|08:00|23/11/2020|08:00||23/11/2020|07:30|2311|||CB1|
3|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2434|2020112301|23/11/2020|12:00|23/11/2020|15:05|PXA|16|WB26|01|||||||||||||PXA-16|722C-G-XA|23/11/2020|15:05|23/11/2020|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|330|33||H|23/11/2020|12:00|23/11/2020|08:00|23/11/2020|08:00||23/11/2020|07:30|2311|||CB1|
4|FTTL|B|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLBC2A1594|2020112401|24/11/2020|15:16|24/11/2020|21:01|PK2|29|GB02|03|||||||||||||PK2-29|722C-C-C2|24/11/2020|21:01|25/11/2020|00:55||1|86160-0K270-00|SPEAKER ASSY  RADIO|1A87|LO   -  10|30|60|2||D|24/11/2020|15:16|24/11/2020|10:23|24/11/2020|10:23||24/11/2020|07:30|2411||||
5|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2435|2020112401|24/11/2020|12:00|24/11/2020|15:05|PXA|16|WB26|01|||||||||||||PXA-16|722C-G-XA|24/11/2020|15:05|24/11/2020|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|60|3||F|24/11/2020|12:00|24/11/2020|08:00|24/11/2020|08:00||24/11/2020|07:30|2411|||CB1|
6|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2435|2020112401|24/11/2020|12:00|24/11/2020|15:05|PXA|16|WB26|01|||||||||||||PXA-16|722C-G-XA|24/11/2020|15:05|24/11/2020|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|280|28||H|24/11/2020|12:00|24/11/2020|08:00|24/11/2020|08:00||24/11/2020|07:30|2411|||CB1|
7|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|G2|1|1G FTTLBG2B1580|2020112501|24/11/2020|10:36|24/11/2020|13:58|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|24/11/2020|13:58|25/11/2020|15:13||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|SI   -  03|8|40|5||D|24/11/2020|10:36|23/11/2020|21:36|23/11/2020|21:36||23/11/2020|07:30|2511||S1||
8|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|G2|1|1G FTTLBG2B1580|2020112501|24/11/2020|10:36|24/11/2020|13:58|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|24/11/2020|13:58|25/11/2020|15:13||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|SL   -  03|8|40|5||D|24/11/2020|10:36|23/11/2020|21:36|23/11/2020|21:36||23/11/2020|07:30|2511||S1||
9|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|G2|1|1G FTTLBG2B1580|2020112501|24/11/2020|10:36|24/11/2020|13:58|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|24/11/2020|13:58|25/11/2020|15:13||3|86160-0K270-00|SPEAKER ASSY  RADIO|1A87|ZM   -  13|30|300|10||I|24/11/2020|10:36|23/11/2020|21:36|23/11/2020|21:36||23/11/2020|07:30|2511||S1||
10|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|G2|1|1G FTTLBG2B1581|2020112601|25/11/2020|10:36|25/11/2020|13:58|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|25/11/2020|13:58|26/11/2020|15:13||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|SI   -  03|8|40|5||D|25/11/2020|10:36|24/11/2020|21:36|24/11/2020|21:36||24/11/2020|07:30|2611||S1||
11|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|G2|1|1G FTTLBG2B1581|2020112601|25/11/2020|10:36|25/11/2020|13:58|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|25/11/2020|13:58|26/11/2020|15:13||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|SL   -  03|8|40|5||D|25/11/2020|10:36|24/11/2020|21:36|24/11/2020|21:36||24/11/2020|07:30|2611||S1||
